segment,product,horizon,buyer,seller,events,quantity,buyer_direction_score,family
transition,VEV_4000,500,Mark 14,Mark 38,1,2.0,-3.0,static_short
transition,VEV_4000,1000,Mark 14,Mark 38,1,2.0,-6.5,static_short
transition,VEV_4000,5000,Mark 14,Mark 38,1,2.0,-9.0,static_short
transition,VEV_4000,10000,Mark 14,Mark 38,1,2.0,-6.0,static_short
transition,VEV_4000,20000,Mark 14,Mark 38,1,2.0,-23.0,static_short
transition,VEV_4000,40000,Mark 14,Mark 38,1,2.0,-8.0,static_short
transition,VEV_5300,500,Mark 01,Mark 22,2,7.0,-0.8571428571428571,static_short
transition,VEV_5300,1000,Mark 01,Mark 22,2,7.0,-2.4285714285714284,static_short
transition,VEV_5300,5000,Mark 01,Mark 22,2,7.0,0.0,static_short
transition,VEV_5300,10000,Mark 01,Mark 22,2,7.0,1.1428571428571428,static_short
transition,VEV_5300,20000,Mark 01,Mark 22,2,7.0,1.8571428571428572,static_short
transition,VEV_5300,40000,Mark 01,Mark 22,2,7.0,1.1428571428571428,static_short
transition,VEV_5400,500,Mark 01,Mark 22,3,10.0,0.0,static_short
transition,VEV_5400,500,Mark 14,Mark 22,1,3.0,-1.0,static_short
transition,VEV_5400,1000,Mark 01,Mark 22,3,10.0,-0.4,static_short
transition,VEV_5400,1000,Mark 14,Mark 22,1,3.0,-1.5,static_short
transition,VEV_5400,5000,Mark 01,Mark 22,3,10.0,1.3,static_short
transition,VEV_5400,5000,Mark 14,Mark 22,1,3.0,-2.0,static_short
transition,VEV_5400,10000,Mark 01,Mark 22,3,10.0,1.2,static_short
transition,VEV_5400,10000,Mark 14,Mark 22,1,3.0,-2.0,static_short
transition,VEV_5400,20000,Mark 01,Mark 22,3,10.0,0.6,static_short
transition,VEV_5400,20000,Mark 14,Mark 22,1,3.0,-2.0,static_short
transition,VEV_5400,40000,Mark 01,Mark 22,3,10.0,1.8,static_short
transition,VEV_5400,40000,Mark 14,Mark 22,1,3.0,-0.5,static_short
transition,VEV_5500,500,Mark 01,Mark 22,4,15.0,0.0,static_short
transition,VEV_5500,1000,Mark 01,Mark 22,4,15.0,-0.26666666666666666,static_short
transition,VEV_5500,5000,Mark 01,Mark 22,4,15.0,0.16666666666666666,static_short
transition,VEV_5500,10000,Mark 01,Mark 22,4,15.0,1.0,static_short
transition,VEV_5500,20000,Mark 01,Mark 22,4,15.0,0.6,static_short
transition,VEV_5500,40000,Mark 01,Mark 22,4,15.0,0.4,static_short
transition,VEV_6000,500,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6000,1000,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6000,5000,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6000,10000,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6000,20000,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6000,40000,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6500,500,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6500,1000,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6500,5000,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6500,10000,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6500,20000,Mark 01,Mark 22,5,18.0,0.0,far_otm
transition,VEV_6500,40000,Mark 01,Mark 22,5,18.0,0.0,far_otm
